Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,1.662000,1.720500,1.662000,1.679500,1.621397,1597300
2019-06-19,1.665000,1.719500,1.558000,1.573500,1.519064,1759600
2019-06-20,1.553000,1.589000,1.500000,1.509500,1.457278,1970000
2019-06-21,1.481000,1.540000,1.480000,1.484500,1.433143,953000
2019-06-24,1.490000,1.516500,1.425500,1.460000,1.409491,813100
2019-06-25,1.440000,1.489500,1.440000,1.457500,1.407077,653000
2019-06-26,1.441000,1.465000,1.420000,1.439000,1.389218,559400
2019-06-27,1.420000,1.726500,1.420000,1.726500,1.666771,4839400
2019-06-28,1.785000,1.990000,1.785000,1.883000,1.817857,24074500
2019-07-01,1.883000,1.883000,1.731000,1.749500,1.688976,5312000
2019-07-02,1.713000,1.800000,1.683500,1.713500,1.654221,4366200
2019-07-03,1.690000,1.719000,1.610000,1.639000,1.582298,2175000
2019-07-04,1.648000,1.687000,1.544000,1.587500,1.532580,1577700
2019-07-05,1.589000,1.589000,1.475500,1.502500,1.450521,2768200
2019-07-08,1.480500,1.499000,1.351000,1.411000,1.362186,2785800
2019-07-09,1.426000,1.600000,1.399000,1.534000,1.480931,6037700
2019-07-10,1.560000,1.650000,1.469000,1.501500,1.449555,3362800
2019-07-11,1.499500,1.539500,1.416500,1.472500,1.421559,2931300
2019-07-12,1.509500,1.573500,1.441000,1.502500,1.450521,3635300
2019-07-15,1.545000,1.676000,1.468000,1.597500,1.542234,6188400
2019-07-16,1.604500,1.676000,1.516500,1.552500,1.498791,3175200
2019-07-17,1.530500,1.587000,1.490000,1.508500,1.456313,3133600
2019-07-18,1.510000,1.529000,1.463000,1.471000,1.420110,1883700
2019-07-19,1.471000,1.489000,1.390000,1.437500,1.387769,2571900
2019-07-22,1.479000,1.480000,1.390000,1.401500,1.353015,1774100
2019-07-23,1.440000,1.440000,1.385500,1.403500,1.354946,2280400
2019-07-24,1.405000,1.443500,1.370000,1.374500,1.326949,2316000
2019-07-25,1.408500,1.430000,1.363500,1.382500,1.334672,1730200
2019-07-26,1.365500,1.410000,1.340000,1.384000,1.336120,2416800
2019-07-29,1.444000,1.444000,1.351500,1.367500,1.320191,1398600
2019-07-30,1.380000,1.380000,1.311000,1.336000,1.289781,1567000
2019-07-31,1.301000,1.400500,1.260500,1.366000,1.318743,4446500
2019-08-01,1.366000,1.389000,1.315000,1.348000,1.301366,2964100
2019-08-02,1.383500,1.383500,1.272000,1.337500,1.291229,2091600
2019-08-05,1.280500,1.328000,1.252000,1.270500,1.226547,1368400
2019-08-06,1.250500,1.313500,1.250500,1.278000,1.233787,647300
2019-08-07,1.320000,1.320000,1.287000,1.301000,1.255992,475600
2019-08-08,1.350000,1.350000,1.258500,1.286000,1.241511,831000
2019-08-09,1.319000,1.390000,1.283000,1.306000,1.260819,1963900
2019-08-13,1.352500,1.357000,1.281000,1.294500,1.249716,594100
2019-08-14,1.321500,1.410000,1.283500,1.382500,1.334672,1571600
2019-08-16,1.382500,1.382500,1.272500,1.289500,1.244889,1376800
2019-08-19,1.309000,1.325000,1.245000,1.260500,1.216893,764300
2019-08-20,1.261000,1.286500,1.220000,1.227500,1.185034,465800
2019-08-21,1.220000,1.400000,1.180000,1.325000,1.279161,20253700
2019-08-22,1.310000,1.339000,1.170000,1.187000,1.145936,4486600
2019-08-23,1.190000,1.230000,1.145000,1.174500,1.133868,2116800
2019-08-26,1.203500,1.234000,1.180000,1.201500,1.159934,2143100
2019-08-27,1.220000,1.281000,1.204500,1.238000,1.195171,2966300
2019-08-28,1.202000,1.248000,1.189500,1.194500,1.153176,798900
2019-08-29,1.186000,1.286000,1.176000,1.241500,1.198550,1975400
2019-08-30,1.250000,1.417000,1.227000,1.361500,1.314399,13385800
2019-09-03,1.311000,1.320000,1.230000,1.245500,1.202412,2522600
2019-09-04,1.240000,1.275000,1.200000,1.208500,1.166692,2571500
2019-09-05,1.230000,1.245000,1.214500,1.221000,1.178759,731700
2019-09-06,1.260000,1.260000,1.210000,1.217500,1.175380,1304300
2019-09-09,1.226000,1.265000,1.220500,1.239500,1.196619,784200
2019-09-11,1.222000,1.324000,1.183000,1.292500,1.247786,2695900
2019-09-12,1.303500,1.303500,1.155500,1.215500,1.173450,7358800
2019-09-13,1.220000,1.299000,1.189500,1.260000,1.216410,4461700
2019-09-16,1.250000,1.265000,1.220000,1.248000,1.204825,1305400
2019-09-17,1.204000,1.265000,1.204000,1.221000,1.178759,1982400
2019-09-18,1.221500,1.250000,1.200000,1.214000,1.172001,3403300
2019-09-19,1.203500,1.230000,1.160500,1.176500,1.150008,1552600
2019-09-20,1.190500,1.247000,1.167000,1.196500,1.169558,3073200
2019-09-23,1.270000,1.270000,1.200500,1.235500,1.207680,2897000
2019-09-24,1.220000,1.246000,1.202000,1.210000,1.182754,3252900
2019-09-25,1.200500,1.230000,1.165000,1.172000,1.145609,3388500
2019-09-26,1.209500,1.235000,1.163000,1.185500,1.158805,3570200
2019-09-27,1.199000,1.245000,1.165000,1.174000,1.147564,3326700
2019-09-30,1.204500,1.207000,1.119500,1.146500,1.120684,1304400
2019-10-01,1.158000,1.159500,1.021000,1.062500,1.038575,1954000
2019-10-03,1.050000,1.072500,1.020000,1.052000,1.028311,1320900
2019-10-04,1.050500,1.096500,1.029000,1.034000,1.010717,504900
2019-10-07,1.042000,1.199000,0.988000,1.121500,1.096247,4207900
2019-10-09,1.102000,1.102000,1.008500,1.038500,1.015115,1981000
2019-10-10,1.053500,1.055000,0.993500,1.000000,0.977482,1016600
2019-10-11,0.995500,1.049000,0.995000,1.021500,0.998498,1101200
2019-10-14,1.015500,1.025000,0.988000,1.006500,0.983836,694300
2019-10-15,0.992500,1.022000,0.863000,0.904500,0.884133,7974400
2019-10-16,0.904500,0.940000,0.904000,0.911000,0.890486,1228600
2019-10-17,0.919500,0.935000,0.910000,0.926500,0.905638,1224000
2019-10-18,0.933000,0.945000,0.925000,0.932000,0.911014,1380000
2019-10-22,0.930000,1.000000,0.905000,0.981500,0.959399,3913300
2019-10-23,1.010000,1.010000,0.960500,0.988000,0.965753,1443200
2019-10-24,1.000000,1.026500,0.974000,0.980500,0.958422,1470800
2019-10-25,0.987500,0.993000,0.960000,0.968500,0.946692,843600
2019-10-27,0.985000,1.000000,0.980000,0.996500,0.974061,161100
2019-10-29,0.960000,1.030000,0.960000,1.023500,1.000453,1018600
2019-10-30,1.047000,1.047000,1.010000,1.029000,1.005829,1823800
2019-10-31,1.015000,1.030000,0.999000,1.011000,0.988235,1626100
2019-11-01,1.005500,1.030000,0.990000,1.014500,0.991656,966500
2019-11-04,1.048000,1.069000,1.020000,1.055000,1.031244,853800
2019-11-05,1.060500,1.117000,1.058000,1.106000,1.081096,3529400
2019-11-06,1.120000,1.314500,1.109500,1.299000,1.269750,17809100
2019-11-07,1.330000,1.399000,1.222000,1.305500,1.276103,11450100
2019-11-08,1.319000,1.350000,1.250000,1.264000,1.235538,3628400
2019-11-11,1.298500,1.309000,1.206500,1.274000,1.245313,1972000
2019-11-13,1.295000,1.321500,1.150000,1.175000,1.148542,4002100
2019-11-14,1.209500,1.240000,1.159000,1.160000,1.133880,1463600
2019-11-15,1.168500,1.180000,1.140500,1.170500,1.144143,490900
2019-11-18,1.171000,1.214000,1.136500,1.180000,1.153429,543900
2019-11-19,1.150000,1.205000,1.133000,1.163500,1.137301,1395100
2019-11-20,1.131500,1.189500,1.131500,1.164000,1.137790,663700
2019-11-21,1.234000,1.234000,1.130500,1.147000,1.130888,625100
2019-11-22,1.142000,1.179000,1.123000,1.146000,1.129902,1228700
2019-11-25,1.143000,1.180000,1.125000,1.152500,1.136311,938100
2019-11-26,1.158500,1.158500,1.116500,1.138000,1.122014,886300
2019-11-27,1.111500,1.143000,1.111500,1.130500,1.114620,582000
2019-11-28,1.134500,1.250000,1.131500,1.178000,1.161452,3434300
2019-11-29,1.150500,1.188500,1.126000,1.143500,1.127437,1428100
2019-12-02,1.190000,1.190000,1.120500,1.154500,1.138283,441900
2019-12-03,1.138000,1.161000,1.106000,1.113500,1.097858,772900
